using function : a * coverage * b * log10(coverage)
parameter setting
a : 1 ,   b : 1 
ID: seq_1, Best Ref: seq_6, Normalized Score: 0.6463643681244969
ID: seq_2, Best Ref: seq_4, Normalized Score: 0.6440541627564017
ID: seq_3, Best Ref: seq_6, Normalized Score: 0.6469009927555674
ID: seq_4, Best Ref: seq_3, Normalized Score: 0.6439678284182305
ID: seq_5, Best Ref: seq_6, Normalized Score: 0.645559431177891
ID: seq_6, Best Ref: seq_3, Normalized Score: 0.6458445040214478
ID: seq_7, Best Ref: seq_6, Normalized Score: 0.6442178696002147
ID: seq_8, Best Ref: seq_3, Normalized Score: 0.6458445040214478
ID: seq_9, Best Ref: seq_6, Normalized Score: 0.6456935873356587
ID: seq_10, Best Ref: seq_3, Normalized Score: 0.6446380697050939
ID: seq_11, Best Ref: seq_6, Normalized Score: 0.6451569627045881
ID: seq_12, Best Ref: seq_3, Normalized Score: 0.6455764075067024
ID: seq_13, Best Ref: seq_4, Normalized Score: 0.6441882289851186
ID: seq_14, Best Ref: seq_3, Normalized Score: 0.6453083109919571
ID: seq_15, Best Ref: seq_6, Normalized Score: 0.6460960558089617
ID: seq_16, Best Ref: seq_6, Normalized Score: 0.645961899651194
ID: seq_17, Best Ref: seq_3, Normalized Score: 0.6434316353887399
ID: seq_18, Best Ref: seq_6, Normalized Score: 0.6460960558089617
ID: seq_19, Best Ref: seq_6, Normalized Score: 0.6460960558089617
ID: seq_20, Best Ref: seq_3, Normalized Score: 0.6438337801608579
parameter setting
a : 1 ,   b : 2 
ID: seq_1, Best Ref: seq_6, Normalized Score: 0.6463643681244969
ID: seq_2, Best Ref: seq_4, Normalized Score: 0.6440541627564017
ID: seq_3, Best Ref: seq_6, Normalized Score: 0.6460960558089617
ID: seq_4, Best Ref: seq_3, Normalized Score: 0.6438337801608579
ID: seq_5, Best Ref: seq_3, Normalized Score: 0.645710455764075
ID: seq_6, Best Ref: seq_6, Normalized Score: 0.6464985242822645
ID: seq_7, Best Ref: seq_6, Normalized Score: 0.6444861819157499
ID: seq_8, Best Ref: seq_3, Normalized Score: 0.6462466487935656
ID: seq_9, Best Ref: seq_6, Normalized Score: 0.6448886503890529
